3.18.25-custom-rt23 #2 SMP PREEMPT RT Fri Feb 19 15:59:06 CET 20d ú¶
100;1463130982000900825
1;1463130982010046541
2;1463130982010122544
3;1463130982018147214
100;1463130982018180234
1;1463130982020049880
2;1463130982020103706
3;1463130982028125202
100;1463130982028155277
1;1463130982030051007
2;1463130982030104717
3;1463130982038125630
100;1463130982038155754
1;1463130982040044276
2;1463130982040093050
3;1463130982048113006
100;1463130982048140067
1;1463130982050051500
2;1463130982050100043
3;1463130982058119007
100;1463130982058146142
1;1463130982060046597
2;1463130982060090930
3;1463130982068108766
100;1463130982068133780
1;1463130982070049701
2;1463130982070093928
3;1463130982078112184
100;1463130982078137175
1;1463130982080045584
2;1463130982080086139
3;1463130982088103212
100;1463130982088126458
1;1463130982090044569
2;1463130982090085255
3;1463130982098102184
100;1463130982098125621
1;1463130982100046711
2;1463130982100084385
3;1463130982108100187
100;1463130982108121580
1;1463130982110045966
2;1463130982110083539
3;1463130982118099203
100;1463130982118121076
1;1463130982120040810
2;1463130982120075695
3;1463130982128090597
100;1463130982128110766
1;1463130982130044243
2;1463130982130079248
3;1463130982138094236
100;1463130982138114490
1;1463130982140043235
2;1463130982140075968
3;1463130982148090016
100;1463130982148108996
1;1463130982150044448
2;1463130982150077167
3;1463130982158091647
100;1463130982158110586
1;1463130982160045095
2;1463130982160075834
3;1463130982168088806
100;1463130982168106638
1;1463130982170044691
2;1463130982170075274
3;1463130982178088285
100;1463130982178106218
1;1463130982180043906
2;1463130982180072738
3;1463130982188085133
100;1463130982188102025
1;1463130982190044704
2;1463130982190073661
3;1463130982198086672
100;1463130982198103673
1;1463130982200044592
2;1463130982200073378
3;1463130982208086254
100;1463130982208103001
1;1463130982210046395
2;1463130982210075300
3;1463130982218087852
100;1463130982218104764
1;1463130982220044465
2;1463130982220073328
3;1463130982228085902
100;1463130982228103023
1;1463130982230045751
2;1463130982230074690
3;1463130982238087057
100;1463130982238103955
1;1463130982240045313
2;1463130982240074179
3;1463130982248087107
100;1463130982248104133
1;1463130982250044256
2;1463130982250073213
3;1463130982258085366
100;1463130982258102314
1;1463130982260045708
2;1463130982260074644
3;1463130982268087414
100;1463130982268104304
1;1463130982270045613
2;1463130982270074512
3;1463130982278086850
100;1463130982278103823
1;1463130982280043819
2;1463130982280072589
3;1463130982288084793
100;1463130982288101544
1;1463130982290044963
2;1463130982290073879
3;1463130982298086210
100;1463130982298103516
1;1463130982300045961
2;1463130982300074831
3;1463130982308087098
100;1463130982308103896
1;1463130982310044377
2;1463130982310073382
3;1463130982318085894
100;1463130982318102802
1;1463130982320044630
2;1463130982320073584
3;1463130982328085719
100;1463130982328102408
1;1463130982330046021
2;1463130982330074972
3;1463130982338087510
100;1463130982338104361
1;1463130982340044688
2;1463130982340073662
3;1463130982348086238
100;1463130982348102869
1;1463130982350045904
2;1463130982350074855
3;1463130982358087707
100;1463130982358104635
1;1463130982360044371
